"Nom du vin";"Millésime";"Couleur";"Stock";"Stock (en cave)";"Producteur";"Pays";"Région";"Appellation";"Cépages";"Format de bouteille";"Classement";"Cuvée";"Degré d'alcool";"Référence";"Tags";"Apogée";"T° de service";"Estimation";"Note";"Commentaires";"IdVin";"IdContact";"IdDocument";"IdDocumentCouverture"
"Domaine Lalande Cité de Carcassonne Les Hauts de Lalande";2023;"Blanc";0;0;"Domaine Lalande";"France";"Languedoc-Roussillon";"Cité de Carcassonne";"50% Chardonnay, 30% Viognier, 20% Chasan";"Bouteille";"";"";13;"";"";;10;;;"";"c3854fda-3588-4c53-aa01-ea82669a78b0";"ba735eda-c148-4b46-8c40-5196d714944f";"0e840305-cf98-43d8-9d88-a10e93f3bcb1";""
"Domaine Maison Cheverny";2023;"Blanc";0;0;"Domaine Maison Père et Fils";"France";"Vallée de la Loire";"Cheverny";"Chardonnay, Sauvignon Blanc";"Bouteille";"";"";13,5;"";"";;10;;;"";"cb734ec3-334f-4747-9a8d-b15682917951";"7b427690-dee3-4cce-ba02-4a9fe2c6887b";"6335c188-8056-4d67-81f5-cff190909df6";""
"Domaine Matray Côte de Brouilly Les Terres Bleues";2021;"Rouge";0;0;"Domaine Matray";"France";"Beaujolais";"Côte de Brouilly";"Gamay";"Bouteille";"";"";13;"";"";;12;10;;"";"6252049b-5b15-4e6e-bf53-e74f1c411d5b";"0a000d8d-f2fd-4704-b83d-3369a5ca4052";"a4023c4f-0e2a-40ff-9c05-3cf223f4538b";""
"Domaine Maurice Lecestre Petit Chablis";2022;"Blanc";0;0;"Domaine Maurice Lecestre";"France";"Bourgogne";"Petit Chablis";"Chardonnay";"Bouteille";"";"";12,5;"";"";;9;14;;"";"1e30b946-67d5-41eb-9dbc-31fe7ebb95b2";"5f09fb89-debf-493c-bb2f-a91fe795cb6a";"06e5a3f8-4131-4142-bc94-baf87bfae24f";""
"Domaine Preignes Le Neuf Coteaux de Béziers Prestige";2023;"Rouge";1;1;"Domaine Preignes Le Neuf";"France";"Languedoc-Roussillon";"Coteaux de Béziers";"60% Merlot, 40% Cabernet Sauvignon";"Bouteille";"";"";12;"";"";;16;7;;"";"a73dc9bb-f63b-4bb9-9a5b-b4f3a21b83e2";"d5cc4136-d4d4-40f3-aff7-9fc7f7d42f9b";"0c71993f-9318-4f33-946c-8d76d6a6f352";""
"Domaine Preignes Le Vieux Coteaux de Béziers Réserve";2022;"Blanc";0;0;"Les Domaines Robert Vic";"France";"Languedoc-Roussillon";"Coteaux de Béziers";"Sauvignon Blanc, Vermentino, Viognier";"Bouteille";"";"";12,5;"";"";;8;10;;"";"ed0a2428-2d19-4979-b07a-716a39404097";"19c17d59-dd4c-414c-9857-6d28b47c6848";"d55fbceb-35d3-4d89-91ce-9070afe4d6eb";""
"Domaine Preignes Le Vieux Pays d'Oc Tradition Chardonnay";2022;"Blanc";0;0;"Les Domaines Robert Vic";"France";"Languedoc-Roussillon";"Pays d'Oc";"Chardonnay";"Bouteille";"";"";13,5;"";"";;8;10;;"";"d0b5d2cc-722f-497d-9736-28092e96cbf0";"19c17d59-dd4c-414c-9857-6d28b47c6848";"1d6329e7-6f98-47fa-9e94-fe27ae335967";""
"Domaine Richaud Côtes du Rhône Nouveau";2022;"Rouge";1;0;"Domaine Marcel Richaud ";"France";"Vallée du Rhône";"Côtes du Rhône";"Cinsault, Grenache, Syrah";"Bouteille";"";"";14;"";"";;14;;;"";"d521c455-b5b4-46df-8185-e524c6a3b6ac";"0007f35d-70c4-4edf-abda-9aff5635379b";"ee3afe0a-a98e-440e-bd66-c2f30e5f5c9c";""
"Domaine Richaud Côtes du Rhône Terre d'Aigles";2022;"Rouge";1;0;"Domaine Marcel Richaud ";"France";"Vallée du Rhône";"Côtes du Rhône";"65% Grenache, 15% Syrah, 10% Carignan, 10% Counoise";"Bouteille";"";"";14,5;"";"";;14;;;"";"585260ca-1ee4-4bd2-99af-5d1810ac7379";"0007f35d-70c4-4edf-abda-9aff5635379b";"49a52e53-29c3-4698-897a-2ee95c88a673";""
"Domaine Richaud Côtes du Rhône Terre de Galets";2022;"Rouge";1;0;"Domaine Marcel Richaud ";"France";"Vallée du Rhône";"Côtes du Rhône";"50% Grenache, 25% Carignan, 15% Mourvèdre, 10% Syrah";"Bouteille";"";"";14;"";"";;14;;;"";"42659312-18f0-4f70-955c-6f9114361c68";"0007f35d-70c4-4edf-abda-9aff5635379b";"88fb01be-2dab-4888-b4ed-917660916127";""
"Domaine Saint-Bénézet Viognier Sensation";2019;"Blanc";0;0;"Château Saint-Bénézet";"France";"Languedoc-Roussillon";"Pays d'Oc";"Grenache Blanc, Vermentino, Viognier";"Bouteille";"";"";13;"";"";;10;;;"";"f66b6a7e-dff0-456c-9516-e6374c3c1fcc";"8b27a40d-5c44-477b-ab12-0b58799c07ec";"a8968c18-1392-4a80-86e0-b8b1d697e95e";""
"Domaine Thomas-Labaille Sancerre L'Authentique";2017;"Rosé";0;0;"Domaine Claude et Florence Thomas Labaille";"France";"Vallée de la Loire";"Sancerre";"";"Bouteille";"";"";;"";"";;;;;"";"3f8374c5-4f06-4165-ad7c-e813921501ee";"59af7de1-ce8b-4fbd-82a8-52ee01b37570";"66a8b21c-3da4-4536-8fbe-53759d3653f5";""
"Domaines Vinsmoselle Moselle Luxembourgeoise Côte de Remich Pinot Gris";2022;"Blanc";0;0;"Domaines Vinsmoselle";"Luxembourg";"Luxembourg";"Moselle Luxembourgeoise";"Pinot Gris";"Bouteille";"";"";12,5;"";"";;10;10;;"";"e45cb1e6-0d07-4420-8607-d244fb944ff5";"2ef8bd08-2fae-4e84-a111-738ed5cc3d99";"7901fc6f-7da7-4bb7-8837-f2d184993769";""
"Dominique Raimond Reserve de Sauvignon Première Côtes de Blaye";2016;"Blanc";0;0;"Dominique Raimond";"France";"Bordeaux";"Premières Côtes de Blaye";"";"Bouteille";"";"";;"";"";;;;;"";"da33fd4b";"b9c44463";"ad9d653b";""
"Dopff & Irion Alsace Pinot Gris Château de Riquewihr Les Marquisards";2021;"Blanc";0;0;"Dopff & Irion";"France";"Alsace";"Alsace";"Pinot Gris";"Bouteille";"";"";12,5;"";"";;10;16;;"";"a458e16a-9ad0-4f75-9078-675ae735b724";"11dea713";"3b3c19ae-c3bd-410a-8250-6e5bd034cd7d";""
"Dopff & Irion Alsace Pinot Gris Château de Riquewihr Les Marquisards";2022;"Blanc";1;1;"Dopff & Irion";"France";"Alsace";"Alsace";"Pinot Gris";"Bouteille";"";"";13;"";"";;10;;;"";"7e758c9a-a1c8-45e6-95c2-15627ca0de41";"11dea713";"a7f9b680-de24-46c2-934d-b2e4662989fc";""
"Dopff & Irion Les Maquisards Pinot Gris";2012;"Blanc";0;0;"Dopff & Irion";"France";"Alsace";"Alsace";"";"Bouteille";"";"";;"";"";;;;;"";"9a7e1e15";"11dea713";"5fd89dd9";""
"Dopff & Irion Les Tonnelles Pinot Noir";2010;"Rouge";0;0;"Dopff & Irion";"France";"Alsace";"Alsace";"";"Bouteille";"";"";;"";"";;;;;"";"efb64e06";"11dea713";"e4ea7d39";""
"Dopff Irion Alsace Pinot Noir Rosé";2017;"Rosé";0;0;"Dopff & Irion";"France";"Alsace";"Alsace";"Pinot Noir";"Bouteille";"";"";12,5;"";"";;8;;;"";"310eb7e8-4975-4af2-9a8c-09b65ea900c0";"11dea713";"43daf4c8-09c1-4bce-9573-1ef7b38433fb";""
"Dumnacus Anjou";2022;"Blanc";1;1;"";"France";"Vallée de la Loire";"Anjou";"";"Bouteille";"";"";;"";"";;;;;"";"d1c2a4d8-25cc-451d-8713-ed4d5afa498b";"";"e4d09046-e7c6-4b9f-bbd9-1b5ab4ccc40f";"d4d77bd6-1679-4b8c-ad20-40a0130c8de8"
"Dune Gris de Gris";2018;"Rosé";0;0;"Château l'Ermitage";"France";"Languedoc-Roussillon";"Sable de Camargue";"90% Grenache, 10% Carignan";"Bouteille";"";"";12,5;"";"";;;;;"";"20c7e98b-c8e2-4a65-8c43-ce7eb13700e6";"cd9b16e1-944a-4b40-a7c3-fb15b72e121f";"f4f96818-856a-4d7a-a933-6c818b73825a";""
"Duo ";2020;"Rosé";0;0;"";"France";"";"";"50% Grenache, 50% Cinsault";"Bouteille";"";"";;"";"";;;8;;"";"f4238ffe-986d-4024-880c-ba0b3fd7bbb2";"";"bcca8a5e-043a-4065-ad69-f4214f9a139f";"38b695cd-2ca0-4d35-8e33-652b505b0655"
"Emotion Collioure";2013;"Rouge";0;0;"";"France";"";"";"";"";"";"";;"";"";;;;;"";"5464851d-5dce-4b18-847a-39d57190842a";"";"6e94aaf8-37d9-46a6-af59-ce5eb7852c18";""
"Esprit  Coteaux D'aix En Provence";2021;"Rosé";0;0;"";"France";"Provence";"Coteaux d'Aix-en-Provence";"";"Bouteille";"";"";;"";"";;;;;"";"983fd23b-1297-40ee-a0af-9867eab4f71e";"";"1b454e64-7d89-473f-afdb-72372d5cecda";"4fdc6f52-8ff5-4c49-8c4a-494f98f203eb"
"Estandon Saint Louis De Provence";2021;"Rosé";0;0;"Estandon Vignerons ";"France";"Provence";"Coteaux varois en Provence";"Carignan, Cinsault, Grenache, Syrah";"Bouteille";"";"";;"";"";;6;;;"";"1f9b614c-d336-4aae-875f-2086459e07fa";"75d303a4-a0c9-46dd-b814-5b97d0dc4d1a";"e8c38a35-ad21-4152-8f9f-cf4b8c66a4a4";""
"Esterelle";2023;"Blanc";0;0;"";"France";"Provence";"Côtes de Provence";"";"Bouteille";"";"";;"";"";;;;;"";"f1eeb106-b8c0-4f8f-80e7-202e18459b12";"";"fdd2952a-03f0-4c5c-9d79-0eeca19afd1f";"811d70f3-848b-403d-9328-d03c0cb68757"
"Famille Hauller Alsace Pinot Noir Héritage Vieilles Vignes";2019;"Rouge";0;0;"Famille Hauller";"France";"Alsace";"Alsace";"Pinot Noir";"Bouteille";"";"";12,5;"";"";;8;;;"";"4bc8d878-68e3-4dba-88b8-5db4c1083238";"b9684ba3-9141-4b6b-b7e8-6197786920d4";"1e41fc65-4843-4ea9-940f-da54222b3277";""
"Finca el Recreo Tinto";2016;"Rouge";0;0;"Finca el Recreo";"Espagne";"Rioja";"Rioja";"";"Bouteille";"";"";;"";"";;;;;"";"3d94a8bc";"963669e6";"67a2391c";""
"Fort du Mirail";2020;"Rouge";0;0;"Fort du Mirail";"France";"Bordeaux";"Lalande-de-Pomerol";"Cabernet Franc, Cabernet Sauvignon, Malbec, Merlot, Petit Verdot";"Bouteille";"";"";14;"";"";;14;;;"";"027930f6-f648-44e3-a2bf-f0ab9d1595d0";"a418dcd7-9003-4702-bbd9-fc081bb4f0ee";"603a5f9b-1886-472a-ab5a-d92f244bb8d6";""
"Freixenet Rose";;"Rosé";0;0;"";"";"";"";"";"";"";"";;"";"";;;;;"fete des peres 2020, de la part de paul matus";"06dcd409-e3f8-4c81-83e6-8093f6f1e3c6";"";"f0643612-ecd4-4dce-bbbe-b374764d6844";"81a2ae3b-01ce-4bc6-99a7-50e6a774f283"
"Ghislain Kohut Fixin";2023;"Rouge";1;1;"Ghislain Kohut";"France";"Bourgogne";"Fixin";"Pinot Noir";"Bouteille";"";"";13,5;"";"";;13;30;;"";"d2f1a669-a997-4400-9a8c-2cfe01b469ab";"7f2e2af4-0179-49de-a1fa-b2ac4297ef01";"48f32613-10e4-42f5-a8bf-7921a210db0d";""
"Gigondas La Cave Beaumes de Venise Les Dentelles en Armoiries";2022;"Rouge";1;1;"Gigondas La Cave";"France";"Vallée du Rhône";"Beaumes de Venise";"Grenache, Mourvèdre, Syrah";"Bouteille";"";"";14;"";"";;16;9;;"";"358accc6-fe0e-43b8-9079-1678cb2f413b";"65f06829-c8d5-496a-9b16-0c24cba136c0";"587fc72b-48aa-4880-af06-2d75d6dd4f09";""
"Graman Duchesse de Graman Premières Côtes de Bordeaux";2012;"Liquoreux";1;1;"Graman";"France";"Bordeaux";"Bordeaux";"";"Bouteille";"";"";;"";"";;;;;"";"bc82a374";"379059fd";"7cf7d3af";""
"Grand Becassier";2022;"Blanc";0;0;"";"France";"Vallée du Rhône";"Côtes du Rhône";"";"Bouteille";"";"";13,5;"";"";;;6,37;;"";"7a31985f-537d-4c41-b333-57af1fa5ae4e";"";"c88f1455-b31b-4ebd-b046-f9fe43b9dad7";"93104e9d-86f5-4340-8e1f-527da816ca84"
"Grenache Chevrotin";2022;"Blanc";0;0;"";"";"";"";"Grenache";"Bouteille";"";"";;"";"";;;;;"";"05494a5a-bd1a-437b-be69-b5a0e577368e";"";"1e7b7c61-64ca-4175-881f-04688cf786b7";"b4538a5c-1498-4ff5-ad31-1dc5476bd581"
"Grimaud Fleur De  Provence";2023;"Rosé";0;0;"";"France";"Provence";"";"";"Bouteille";"";"";;"";"";;;6;;"";"8829613a-ce44-4179-8bc9-b9279bfadd71";"";"d3b671ab-3f41-4170-b025-8a6f12c51ac8";"31b61d6d-39be-462c-99a7-ffe882fb49bf"
"Gris Listel";;"";0;0;"";"";"";"";"";"";"";"";;"";"";;;;;"";"6401b79a-e5a4-4be3-8f7f-d2f861317d94";"";"";"68a69bfc-edad-4f33-8635-5638bf16ca9b"
"Guardian Alma Cersius";2022;"Rouge";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;7,5;;"";"160c5c47-f117-4f59-865e-3ec8bf328f3b";"";"20e8cf00-e761-47a3-bcbf-0f72c2fa4ae3";"a9c2015a-55de-454c-bedd-a8284f9c04b5"
"Gérard Bertrand Autrement Cabernet Sauvignon";2019;"Rouge";0;0;"Gérard Bertrand";"France";"Languedoc-Roussillon";"Pays d'Oc";"Cabernet Sauvignon";"Bouteille";"";"";14;"";"";;15;;;"";"c8c729cb-999e-43a4-8527-f41ef4b175ca";"98f66118-b040-4ada-88e9-40f24595b62b";"6724f4a4-d8f4-4785-a655-b4eb92b23b09";""
"Haut-Médoc Château Lachesnaye";2014;"Rouge";0;0;"Château Lachesnaye";"France";"Bordeaux";"Haut-Médoc";"Cabernet Sauvignon, Merlot";"Bouteille";"Cru Bourgeois";"";13;"";"";;16;5;;"";"95c4b874-9242-4fc2-a46e-f821279c3f99";"67b26ecc-2a41-4ab6-afd5-3f8e076e3783";"c707a828-a521-416c-a947-5c1251160d40";""
"Henri Ehrhart Alsace Gewurztraminer Réserve Particulière";2022;"Blanc";0;0;"Henri Ehrhart";"France";"Alsace";"Alsace";"Gewurztraminer";"Bouteille";"";"";14;"";"";;8;6;;"";"988db654-a7f0-4a5b-a609-a5efa8196e7c";"e294e633-bf57-4817-aaf2-04be5e573107";"a7ca9c36-6444-4696-a1f7-3b915115dff8";""
"Henri Ehrhart Alsace Gewurztraminer Réserve Particulière";2023;"Liquoreux";0;0;"Henri Ehrhart";"France";"Alsace";"Alsace";"Gewurztraminer";"Bouteille";"";"";14;"";"";;8;9;;"";"b9622bae-0ff5-4fbb-a8ea-6356fe32e1e5";"e294e633-bf57-4817-aaf2-04be5e573107";"345ac30e-6593-4fa4-a2ba-41ce53471fe8";""
"Henri Ehrhart Alsace Pinot Gris Réserve Particulière";2023;"Blanc";0;0;"Henri Ehrhart";"France";"Alsace";"Alsace";"Pinot Gris";"Bouteille";"";"";12,5;"";"";;8;;;"";"a030b488-f34f-4e0c-89e6-1e98b5382e3f";"e294e633-bf57-4817-aaf2-04be5e573107";"b5b5e99e-57a8-41de-84e6-bf903eaf6cc8";""
"Henri Molinet Juliénas Cru Du Beaujolais";2006;"Rouge";0;0;"";"France";"Beaujolais";"Beaujolais";"";"Bouteille";"";"";;"";"";;;;;"";"013dbdaa";"";"c9cdf33f";""
"Hilha";2021;"Rosé";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"fea3c516-5529-4c0a-be25-06c682a3bf57";"";"1c02b456-3947-440c-87f9-805a38c50de0";"7f725d1d-222f-47ca-9831-a02cc8f1c205"
"Hospices Strasbourg Cleebourg Pinot Blanc";2019;"Blanc";0;0;"Bliemerose";"France";"Alsace";"Alsace";"";"Bouteille";"";"";;"";"";;;;;"";"7ac0cc93-04e2-44bc-87ee-7b26ee390561";"74b2ec5b-20af-4e54-88b1-7dddf3300fa6";"687a061a-2977-4487-97b2-5404280a1a1d";"4e56d1b8-143c-48f1-9ca1-f978985c9738"
"Héritage De Carillan";;"Blanc";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"098ca69d-8902-42c8-ac7d-67d7ef5193b3";"";"32256441-19be-4607-9a7f-9e3e4137c3c2";"63d61bc9-ccc5-4f7f-9f8b-344abee347e2"
"Intuition Cotes Du Rhone";2024;"Blanc";1;0;"";"France";"Vallée du Rhône";"Côtes du Rhône";"";"Bouteille";"";"";;"";"";;;6;;"";"45989cf8-5651-4906-9942-f08e79fbd941";"";"7bd2a2e5-01d9-41e2-9a40-4166c9b9b4d7";"651f40e7-4b67-4e05-8135-85ccf79b0ba8"
"Jean Bernard Cuvée Jean Bernard";2015;"Rouge";0;0;"Jean Bernard";"France";"Bourgogne";"Nuits-Saint-Georges";"";"Bouteille";"";"";;"";"";;;;;"";"b2e24631";"c6f06e15";"c4b708a4";""
"Jean des Valanges Chardonnay";2023;"Blanc";0;0;"Jean des Valanges";"France";"Vin de France";"";"Chardonnay";"Bouteille";"";"";12;"";"";;9;;;"";"380fee5f-e002-450b-a16f-2a41c59679e7";"017bb989-0cbd-4d7d-a634-c05967d03d86";"f3aebfba-6b38-480b-aab9-73b69bd0ca72";""
"Joseph Fritz Ottrott Rouge";2017;"Rouge";0;0;"Joseph Fritz";"France";"Alsace";"Alsace";"";"Bouteille";"";"";;"";"";;;;;"";"5d74cb8e";"328cc915";"52b698d5";""
"Joseph Mellot La Grande Cuvée Des Edvins Pouilly-Fumé";2007;"Blanc";0;0;"Joseph Mellot";"France";"Vallée de la Loire";"Pouilly-Fumé";"";"Bouteille";"";"";;"";"";;;;;"";"f495cbff";"ca1e759a";"409d606d";""
"JP. Chenet Original Grenache-Cinsault";2022;"Rosé";0;0;"JP. Chenet ";"France";"Languedoc-Roussillon";"Pays d'Oc";"Cinsault, Grenache";"Bouteille";"";"";12,5;"";"";;8;3,4;;"";"b1cf0516-b47a-4658-afdf-9e8cb4263e60";"68f4d0fc-897c-44ac-b10f-52e00a21d8d2";"0bbe16b8-43d9-4fcf-8511-0ed46f78542e";""
"Kalliste";;"Rosé";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"e694f6fd-08e3-4a28-96ce-13e81033f918";"";"31acb9f0-cd56-43b0-a40b-7e7e381e71f3";"737acb60-5c68-46cd-85b8-2758c246b9ef"
"Kanonkop Kadette Cape Blend";2016;"Rouge";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"d3f1ad2d-91c0-48ab-870a-cda71d19f2ea";"";"3ca66be1-5714-4919-bd8a-729baf1e7c47";"9e25d719-9366-44cf-9d32-baa88e9a83ff"
"L'Attire Bouchon Bourgueil";2019;"Rouge";0;0;"";"France";"Vallée de la Loire";"Bourgueil";"";"Bouteille";"";"";;"";"celine,2022,grand frais,";;;;;"";"b41ce8f0-b913-4eac-8bda-e500363b4ef8";"";"64dc521f-a47d-464f-bfd1-db1c433d9e05";""
"L'orme de Rauzan Gassies";2019;"Rouge";0;0;"";"France";"Bordeaux";"Haut-Médoc";"";"Bouteille";"";"";;"";"";;;20;;"";"cf9da3ba-e5c6-40b6-b35c-338cf47b56d8";"";"126961fe-83c2-4b8f-bcc8-f922617f2aff";"a25f0375-e24a-49e5-bb94-532dc590afca"
"La Ballerine";2018;"Rouge";0;0;"";"";"";"";"Merlot";"Bouteille";"";"";;"";"";;;5;;"";"d1724a32-b1f3-44e5-ba0e-78dff51b4762";"";"ca5dc706-31c1-4c3c-a0be-e05f8f358bdd";"10d22697-545c-45b6-9f8c-41834aa586f4"
"La Cheteau Cremant De Loire";;"Effervescent";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"7aad181e-066c-4b23-b644-e026c6f1e9c2";"";"4b7bdc73-5402-40bb-962f-478c6954ba50";"5b93b59d-5441-4d8f-b552-4c93865b3fa9"
"La Croix de Pez";2017;"Rouge";1;1;"La Croix de Pez";"France";"Bordeaux";"Saint-Estèphe";"60% Merlot, 35% Cabernet Sauvignon, 5% Cabernet Franc";"Bouteille";"";"";12,5;"";"papa,anniv ludo,2021,";;16;22;;"";"b331b369-f30b-4646-886f-4a7657f45e4b";"041a24d2-0184-497f-86df-2f5483212880";"914155e0-8462-48cf-b95e-5d14fe01d10a";"55b76ad6-3933-4f8e-a8d3-7472d3c3e12a"
"La Gariotte Des Batuts";2020;"Rouge";0;0;"";"France";"Sud-Ouest";"Cahors";"";"Bouteille";"";"";;"";"leclerc express,";;;;;"";"d5c679a7-73cc-4a71-9043-adfca59e35a5";"";"ea107957-d55e-490a-896a-f3e69a31e008";""
"La Javeline";2019;"Blanc";0;0;"";"France";"Vallée de la Loire";"Touraine";"";"Bouteille";"";"";;"";"celine,2022,grand frais,";;;;;"";"4f528981-9e14-4c03-bad2-c70ec02f0474";"";"e66017ea-1509-439c-9f9c-9e8224f287f2";""
"La part Des Biches";2023;"Rouge";1;1;"";"France";"Sud-Ouest";"Cahors";"Malbec, Cahors";"Bouteille";"";"";;"";"";;;;;"";"a9e58130-9b47-4a02-9f11-a38fb5a17e83";"";"839b7dca-3cbb-4b6b-b205-c71f87e2fbed";"055577be-57e2-4889-9445-21b6761b009f"
"La Perriere De Giraud";2022;"Rosé";0;0;"";"France";"Vallée du Rhône";"Ventoux";"";"Bouteille";"";"";;"";"";;;5;;"";"4d05bbc4-7c0e-4796-a35a-064d3608e2e0";"";"0e00ca74-fe08-4d21-81c8-f2a6328de4ca";"843ec793-5375-4422-be79-df36358abb8e"
"La Serra Montepulciano";2022;"Rouge";0;0;"";"Italie";"Abruzzo";"Montepulciano d'Abruzzo";"";"Bouteille";"";"";;"";"";;;9;;"";"cdf44722-8d99-49bd-8ec9-0524088e28d6";"";"545cb0cc-3e99-4f7b-ae2f-dc073d1092f9";"f7d38e01-e5c8-4e36-94eb-5d7ba4a79317"
"Lacheteau Crémant de Loire Brut";;"Effervescent";0;0;"Lacheteau";"France";"Vallée de la Loire";"Crémant de Loire";"60% Chenin Blanc, 20% Cabernet Franc, 20% Chardonnay";"Bouteille";"";"";13;"";"";;6;;;"";"f4c653d2-d25e-48a0-8519-d2d30eb26d5b";"e77442bb-0f7e-4ff6-a4fe-80a46bff1b40";"d02ddc57-683e-4183-aa1c-913db1e1cd9e";""
"Lambrusco Emilia Amabile";;"Rouge";0;0;"";"Italie";"";"";"";"";"";"";8;"";"";;;5;;"";"84954de1-d966-4c14-b99f-383d7f639fbe";"";"b9514734-a89e-4c71-9943-25643b844949";""
"Le Carillon de Rouget";2015;"Rouge";0;0;"Château Rouget";"France";"Bordeaux";"Pomerol";"Cabernet Franc, Merlot";"Bouteille";"";"";;"";"";;;29;;"anniv ludo 2020 de Paul";"a8558c3d-e2a8-4e29-89c7-9fffcd10bc48";"1a6f758c-c45f-4211-b3e6-fbb0e8544866";"49f558bb-40d0-44df-b189-86e12e617836";"3a7e52e1-1570-46e0-a3fd-e80dffc0d031"
"Le Cotes Le Rouët";;"Rouge";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"6478f879-c5fc-4e2a-a394-0d7ee5559e8d";"";"ddaf3e10-7b27-4571-a33f-5f833549bd56";"4101c62c-92ed-4850-a40f-7f020be7e6b2"
"Le Graal Chateau De La Castille";;"Rosé";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"a08a68fb-66ec-4275-abaa-d2029a284a12";"";"92bf0723-ba6d-4596-8476-c09d706fbdc3";"ea43e511-7e46-477e-95ef-d1d43ad44347"
"Le Malbec de Cahors Par Johan Vidal";2019;"Rouge";0;0;"Château La Reyne";"France";"Sud-Ouest";"Cahors";"Malbec";"Bouteille";"";"";13;"";"";;18;7;;"";"39410a68-80b8-4bd6-91f1-e5190a527f4b";"84190004-7fd8-4b40-a9a5-920fb9859f7a";"7e1512c9-9c6d-4585-9613-4655e3458473";"3e8b7190-7a5e-4af5-ab61-8e325dee8eda"
"Le Rosé de Mouton Cadet";2011;"Rosé";1;1;"Baron Philippe de Rothschild";"France";"Bordeaux";"Bordeaux";"53% Merlot, 27% Cabernet Sauvignon, 20% Cabernet Franc";"Bouteille";"";"";12,5;"";"";;8;;;"";"058680d3-42b3-4dc6-8359-ecfd4d43b8c4";"bc812e98-1b8d-4bf8-85eb-ef7608850c7e";"2db9a567-d459-49f0-8173-992516ac67b5";""
"Le Rosé de Mouton Cadet";2014;"Rosé";0;0;"Baron Philippe de Rothschild";"France";"Bordeaux";"Bordeaux";"53% Merlot, 27% Cabernet Sauvignon, 20% Cabernet Franc";"Bouteille";"";"";12,5;"";"";;8;;;"";"d6525ed7-3d5c-4777-8697-6e4d4ff1b8ce";"bc812e98-1b8d-4bf8-85eb-ef7608850c7e";"f1b0108d-d1d8-48df-aecb-3d6358eb1d44";""
"Le Rouet Le Cotes";2022;"Rosé";0;0;"";"France";"Provence";"Côtes de Provence";"";"Bouteille";"";"";;"";"";;;10;;"";"08ee9429-3a42-4a52-8696-55edd743799d";"";"79d6a7f4-6213-4946-a251-6cd705dd1872";"af5a742f-5acb-4c04-bfd0-d0da54018dd0"
"Le Talmondais";2023;"Rouge";0;0;"Le Talmondais";"France";"Sud-Ouest";"Charentais";"40% Cabernet Sauvignon, 40% Merlot, 20% Pinot Noir";"Bouteille";"";"";13;"";"";;16;;;"";"9dba77bc-4fed-4dff-9d71-39861018fbfd";"565ee12d-d528-4b2a-ac6e-da8cad9a5ce7";"8d11a4a0-8944-4dcc-a232-4c09f10790da";""
"Le Talmondais";2021;"Rouge";0;0;"Le Talmondais";"France";"Sud-Ouest";"Charentais";"40% Cabernet Sauvignon, 40% Merlot, 20% Pinot Noir";"Bouteille";"";"";12,5;"";"";;16;;;"";"3c343e6d-7418-488f-9145-93e686e99ce3";"565ee12d-d528-4b2a-ac6e-da8cad9a5ce7";"04846892-0c7b-4172-a631-e1968d71dea8";""
"Le Tertre de Sarpe Saint-Émilion";2013;"Rouge";0;0;"Le Tertre de Sarpe";"France";"Bordeaux";"Saint-Émilion";"";"Bouteille";"";"";;"";"";;;;;"";"8a581956";"57f3c50e";"b597d09c";""
"Les Bleumes";2023;"Rosé";1;1;"";"France";"Languedoc-Roussillon";"Pays d'Oc";"";"Bouteille";"";"";;"";"";;;5;;"";"06a65451-e986-468f-ab85-81347b0f6261";"";"55b51ff7-6060-49cc-ba16-a1422f01c0fd";"5d400c97-7f0f-4648-ba0f-216188fa58fc"
"Les Ormes de Cambras Chardonnay";2022;"Blanc";0;0;"Les Ormes de Cambras";"France";"Languedoc-Roussillon";"Pays d'Oc";"Chardonnay";"Bouteille";"";"";12,5;"";"";;10;3,59;;"";"60e532b9-aed4-47a3-9b73-3dff0be04fb4";"846490cf-54aa-4a5a-ac1f-aab8ca3de84b";"aeb3cc79-b92c-44fa-81e2-639e2c86f4ba";""
"Les Potins";2024;"Rouge";0;0;"";"France";"Sud-Ouest";"Gaillac";"";"Bouteille";"";"";;"";"";;;8;;"";"010e8974-1668-4c0a-b50b-de82dfdf766a";"";"aa71b6d3-fb1f-4400-a41d-62c3883d3de8";"73bc4568-008d-403e-ae16-0741a851626f"
"Les Thérons Faïsse Du Loup";2022;"Rosé";0;0;"";"France";"Languedoc-Roussillon";"Pays d'Oc";"";"Bouteille";"";"";;"";"";;;6;;"";"d54687d3-6dc7-4582-bb16-d091197cb505";"";"4d720224-40a8-49e2-b47b-79f62aee4410";"1cc35386-9f1f-4af2-92c1-a2277945711d"
