"Nom du vin";"Millésime";"Couleur";"Stock";"Stock (en cave)";"Producteur";"Pays";"Région";"Appellation";"Cépages";"Format de bouteille";"Classement";"Cuvée";"Degré d'alcool";"Référence";"Tags";"Apogée";"T° de service";"Estimation";"Note";"Commentaires";"IdVin";"IdContact";"IdDocument";"IdDocumentCouverture"
"Champagne Tsarine Brut Millésimé";2018;"Effervescent";0;0;"Champagne Tsarine";"France";"Champagne";"Champagne";"45% Pinot Noir, 35% Chardonnay, 20% Pinot Meunier";"Bouteille";"";"";12;"";"";;9;;;"";"9e234b55-f986-49e1-b28c-4674bb6589c9";"5dae3894-ec82-4ef5-bb43-a7ba02b20c6a";"d1df7dc0-c538-4b94-bd88-eee8efeb011f";""
"Champagne Tsarine Cuvée Premium Brut";;"Effervescent";1;1;"Champagne Tsarine";"France";"Champagne";"Champagne";"34% Chardonnay, 33% Pinot Meunier, 33% Pinot Noir";"Bouteille";"";"";;"";"";;;;;"";"64c22108-4244-4a8b-a87e-f4c817965e23";"5dae3894-ec82-4ef5-bb43-a7ba02b20c6a";"e8b75a05-db6f-4f5f-9d77-fde647fc8933";""
"Champagne Tsarine Premier Cru";;"Effervescent";0;0;"Champagne Tsarine";"France";"Champagne";"Champagne";"65% Pinot Noir, 35% Chardonnay";"Bouteille";"1er Cru";"";;"";"";;;;;"";"f162ccba-e6b8-4f4e-b02e-b0d42bcb0f3b";"5dae3894-ec82-4ef5-bb43-a7ba02b20c6a";"2587ccbb-f322-4120-8c09-46efd5742c0a";""
"Chantarel";;"Rosé";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"auchan,2022,";;;4;;"";"0a266a2e-e48b-48aa-96dd-42d4a03ae79e";"";"416743c5-e856-49bc-886f-987d89305e26";""
"Chantet Blanet Graves";2023;"Rouge";1;1;"Chantet Blanet";"France";"Bordeaux";"Graves";"Cabernet Franc, Cabernet Sauvignon, Merlot";"Bouteille";"";"";13,5;"";"";;17;8;;"";"db983863-d0d4-445b-ae5a-b21abc25dad9";"5529ef3c";"a4242119-82a0-4fa3-8132-674e2b759632";""
"Chantet Blanet Saint-Émilion";2001;"Rouge";1;1;"Chantet Blanet";"France";"Bordeaux";"Saint-Émilion";"";"Bouteille";"";"";;"";"";;;;;"";"504f85ac";"5529ef3c";"07e42874";""
"Chardo Haute Vallee De l'Aude";2023;"Blanc";0;0;"";"France";"Languedoc-Roussillon";"Aude";"";"Bouteille";"";"";;"";"";;;5;;"";"4233a8df-a726-4649-a9a6-5844ced40253";"";"2aedaa2d-e815-4772-95c2-789606f800c9";"6adf279c-4cc1-417c-8bed-831ad5ee08a3"
"Chardo Sieur d'Arques Limoux Chardonnay Toques & Clochers Haute-vallée";2021;"Blanc";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;8;;"";"15cae6e2-0766-469e-bc61-ff26252d4e01";"";"c3859da4-ac16-44b7-9d50-b7700dccf058";"a0c2ee90-2de5-4643-90c1-c79a58191582"
"Chardonnay Les Vignerons de Quissac";2022;"Blanc";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"dd77e3c6-95c4-4d47-964d-57662914e39f";"";"194d1c94-a437-4c2d-8f15-6e00e6c11265";"9c1f20e2-c53d-484b-b17c-cb447348966e"
"Chateau Bel Air Graves De Vayres";2016;"Rouge";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;12;;"";"21b647c4-19ff-492c-a5a1-6540243c2dee";"";"94fe0bf1-f1e6-48f8-9529-86c899c4f3d0";""
"Chateau Chevron Villette";;"Rosé";0;0;"";"France";"Provence";"Côtes de Provence";"";"Bouteille";"";"";;"";"";;;4,5;;"";"cf13b5ae-549e-4227-ba9b-f951ed4e0d3a";"";"df28888a-9516-4739-8f17-bd07f6826cd8";"b2d688de-94d5-4834-9426-3b545216096a"
"Chateau De Boissac Bordeaux";2020;"Rouge";0;0;"";"France";"Bordeaux";"";"";"Bouteille";"";"";;"";"";;;5;;"";"df1813bc-45d2-4cf5-8155-2ff5b75e80fd";"";"a600d4d8-e4b5-4c7d-8d78-41bfcb1c075c";"8bfca983-09b5-441a-adbe-c11b0be838fd"
"Chateau hoclet";2022;"Rouge";1;1;"";"";"";"";"";"Bouteille";"";"";;"";"";;;4,6;;"";"790adab6-b687-4238-a6d1-382d6baf0542";"";"1bea710b-b593-445e-9fca-ea2f96653559";"9b0e6306-b2c9-49ae-9db9-97f1ef268607"
"Chateau L'esprit De Lavalette";2020;"Rouge";1;1;"";"France";"Bordeaux";"Saint-Émilion";"";"Bouteille";"";"";;"";"";;;13;;"";"b6d073d3-a474-4d3e-bf3b-14d6076feb58";"";"e1b607b3-a7c7-40d8-b219-8e0aa33dd7f5";"0a42f9c6-5330-4daf-8961-745cf2894b85"
"Chateau Majoureau Bordeaux Clairet";2023;"Rouge";2;2;"Delong";"France";"Bordeaux";"Bordeaux clairet";"";"Bouteille";"";"";;"";"";;;6;;"";"b1802eb7-0e93-4e54-a05a-5d4d3d3bff8f";"9fbb98fc-dd4e-4343-ae6b-12b852555239";"6f15dffd-7e29-4520-9f88-0cdfd3732907";""
"Chateau Majoureau Les Vignes Du Paradis";2022;"Rouge";1;1;"Delong";"France";"Bordeaux";"Bordeaux";"";"Bouteille";"";"";;"";"";;;13;;"";"d1fd6634-05db-41f3-bfdc-31be65f2fbe7";"9fbb98fc-dd4e-4343-ae6b-12b852555239";"ab0b0500-a41c-4c6e-8ca2-6042ec693642";"133844f0-e3e3-4a24-88ec-52fb8e967379"
"Chateau Roberperots Cubee Olivia";2020;"Rouge";1;1;"";"France";"Bordeaux";"Bordeaux Supérieur";"";"Bouteille";"";"";;"";"";;;7;;"";"d08b4ac7-f0da-4e4a-b941-0fcacba3ac79";"";"3d2fc6ce-ea6a-46be-8e7c-0092f0ddb0cc";"b832565d-f5ab-4356-aedd-9a6639f9daea"
"Cheval Quancard Cuvée Hortense Prestige";2019;"Blanc";0;0;"Cheval Quancard";"France";"Bordeaux";"Entre-deux-Mers";"Muscadelle, Sauvignon Blanc, Sémillon";"Bouteille";"";"";12,5;"";"";;8;;;"";"d2640e15-f2e9-4890-acd7-311f1935fb4e";"0769382f-797c-44fb-9a54-a72c73815b1d";"46431222-62ec-4bb4-8236-9d7cd58d2eb8";""
"Chinon La Closerie";;"";0;0;"";"France";"Vallée de la Loire";"Chinon";"";"Bouteille";"";"";;"";"";;;;;"";"58bb9c14-cbe3-4cd5-919c-533ec91eb086";"";"2adb95d7-ca88-49e9-9066-21e2e5a9448f";"c6f6f793-7049-4fa2-a836-d071ec191477"
"Château Bastian Réserve";2016;"Rouge";0;0;"Château Bastian";"France";"Bordeaux";"Bordeaux";"50% Merlot, 30% Cabernet Franc, 20% Cabernet Sauvignon";"Bouteille";"";"";13;"";"";;17;;;"";"2c90ee8d-370f-4926-b419-2fbc8b217e0f";"dc8644c8-3e6f-48fc-a350-e5ce9ad30880";"1a053a58-5d01-4d33-8de9-2a23fea2e884";""
"Château Bellevue Pineau des Charentes Blanc";2016;"Muté";2;2;"Château Bellevue";"France";"Sud-Ouest";"Pineau des Charentes";"Colombard, Ugni Blanc";"Bouteille";"";"";17;"";"";;8;;;"";"2a566892-9948-441b-a6d6-3f2b4d936906";"f7b29cf2-a4cd-4829-90dd-f4f5b4ea8466";"d999c312-ef44-471e-9449-ddb904e63dd2";""
"Château Bourdieu";2016;"Rouge";0;0;"Château Bourdieu";"France";"Bordeaux";"Côtes de Bordeaux Blaye";"80% Merlot, 20% Cabernet Sauvignon";"Bouteille";"";"";;"";"papa,anniv ludo,2021,";;;9;;"";"177de834-68c4-47f1-9276-f98c55e8d71d";"a256ec2a-3fa3-4304-8533-8341270c075e";"dde5e837-a0b1-458d-a4fa-f96fa44b4af3";""
