"Date";"Nom du vin";"Millésime";"Lieu";"Note";"EmotiPLOC";"Couleur";"Personnes présentes";"Plats";"Commentaires";"IdVin"
"27/08/2023";"Cave Vinicole de Cleebourg Cave Historique Hospices de Strasbourg Alsace Pinot Gris";2020;"";;"WAOUH";"";"";"";"";"b3dbc13b-498d-4f5a-b7fb-63593fed2dea"
"29/08/2023";"Rose D'alsace Maison Petterman";2022;"";;"OH !";"";"";"";"";"500c181a-9259-4645-bd7f-042084c53d1c"
"17/11/2024";"Blason de Bourgogne Bourgogne Hautes Côtes de Nuits";2021;"";4;"Beurk";"";"Celine Ludo,";"";"trop léger, trop clair";"d4a22a5e-d46b-460c-b48b-688d61bbe4f5"
"27/12/2024";"Pascal Bouchard Petit Chablis Blancs Cailloux";2023;"maizières-lès-Metz";85;"COOL";"#F9F2B0";"";"";"";"0e8dc93e-43af-42c9-8532-82701f931e64"
"29/12/2024";"L'orme de Rauzan Gassies";2019;"";91;"WAOUH";"";"";"";"";"cf9da3ba-e5c6-40b6-b35c-338cf47b56d8"
"20/02/2025";"Esterelle";2023;"";;"COOL";"";"";"Apero";"très bon a l'apéro, blanc / cotes provence léger et agréable ";"f1eeb106-b8c0-4f8f-80e7-202e18459b12"
"04/10/2025";"Château Camplong Corbieres";2024;"";;"OH !";"";"";"";"";"fd8be288-9c86-47a1-a97b-f1ef4717ddd9"
"24/12/2025";"Savoie Abymes Vieilles Vignes";2024;"";;"";"";"";"";"";"8684d52e-692e-4b0c-a86b-29c010d402ea"
"25/12/2025";"Le Carillon de Rouget";2015;"maizières-lès-Metz";90;"WAOUH";"#8E1521";"Celine Ludo,";"";"";"a8558c3d-e2a8-4e29-89c7-9fffcd10bc48"
"22/01/2026";"Cos Du roy";2023;"";;"";"";"";"";"";"bafeab65-4f67-4aa0-9e87-b8a0e50b2cc7"
"13/06/2026";"Grenache Chevrotin";2022;"";;"Grrh";"";"";"";"bof , pas de goût. du mal a savoir si c'est bon rouge ou rose. mais c'est rosé...";"05494a5a-bd1a-437b-be69-b5a0e577368e"
